Title,Body,Labels
[DATA] Local: Step 1 - Add Redis to docker-compose.yml,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-01

**Objective**:
Add Redis service to existing docker-compose.yml for local queue-based aggregation.

**Tasks**:
- Add Redis service to docker-compose.yml
- Configure Redis port (6379)
- Add volume for Redis data persistence
- Update docker-compose documentation

**Acceptance Criteria**:
- Redis container starts successfully with `docker-compose up -d redis`
- Redis accessible on localhost:6379
- Redis data persists across container restarts
- Documentation updated","data,aggregation,local,p1,seq-agg-local-01,infrastructure"
[DATA] Local: Step 2 - Install aggregation dependencies,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-02

**Objective**:
Install required packages for queue-based aggregation (BullMQ, Redis client, Node-cron).

**Tasks**:
- Install `bullmq` package
- Install `ioredis` package
- Install `node-cron` package
- Install `@types/node-cron` dev dependency

**Acceptance Criteria**:
- All packages installed in dashboard/package.json
- No dependency conflicts
- TypeScript types available","data,aggregation,local,p1,seq-agg-local-02,dependencies"
[DATA] Local: Step 3 - Create aggregation directory structure,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-03

**Objective**:
Create folder structure for aggregation code organization.

**Tasks**:
- Create `dashboard/src/lib/aggregation/` directory
- Create `dashboard/scripts/workers/` directory
- Create `dashboard/scripts/cron/` directory
- Add README.md explaining structure

**Acceptance Criteria**:
- Directory structure exists
- README documents purpose of each directory","data,aggregation,local,p1,seq-agg-local-03,foundation"
[DATA] Local: Step 4 - Create queue setup (Redis connection + BullMQ queue),"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-04

**Objective**:
Create queue setup file with Redis connection and BullMQ queue initialization.

**Tasks**:
- Create `lib/aggregation/queue.ts`
- Configure Redis connection (localhost:6379)
- Create aggregation queue with BullMQ
- Add default job options (retries, backoff)
- Add error handling

**Acceptance Criteria**:
- Queue connects to Redis successfully
- Queue can be imported and used in other files
- Default job options configured (3 attempts, exponential backoff)","data,aggregation,local,p1,seq-agg-local-04,queue"
[DATA] Local: Step 5 - Create enqueue function,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-05

**Objective**:
Create function to enqueue aggregation jobs for projects.

**Tasks**:
- Create `lib/aggregation/enqueue.ts`
- Implement `enqueueHourlyAggregation()` function
- Query all projects from database
- Create jobs with projectId, startTime, endTime, granularity
- Add error handling and logging

**Acceptance Criteria**:
- Function successfully enqueues jobs for all projects
- Jobs contain correct data structure
- Error handling for database queries
- Logging shows number of jobs enqueued","data,aggregation,local,p1,seq-agg-local-05,queue"
[DATA] Local: Step 6 - Create aggregation utility functions,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-06

**Objective**:
Create utility functions for aggregating raw data (ApiTrace, Log, Crash, Session).

**Tasks**:
- Create `lib/aggregation/utils.ts`
- Implement `aggregateTraces()` function
- Implement `aggregateLogs()` function
- Implement `aggregateCrashes()` function
- Implement `aggregateSessions()` function
- Add helper functions for grouping and calculations

**Acceptance Criteria**:
- Functions process raw data and return aggregated results
- Supports hourly and daily granularity
- Handles edge cases (nulls, missing data)
- Unit tests for aggregation logic","data,aggregation,local,p1,seq-agg-local-06,utilities"
[DATA] Local: Step 7 - Create worker process,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-07

**Objective**:
Create worker process that consumes jobs from queue and processes aggregations.

**Tasks**:
- Create `scripts/workers/aggregation-worker.ts`
- Connect to Redis and Database
- Implement job processing logic
- Fetch raw data in batches (10K rows)
- Call aggregation utilities
- Insert aggregates into database
- Update last processed time
- Add error handling and retry logic
- Add progress tracking

**Acceptance Criteria**:
- Worker runs continuously
- Processes jobs from queue
- Handles batch processing correctly
- Updates database with aggregates
- Logs progress and errors
- Handles job failures gracefully","data,aggregation,local,p1,seq-agg-local-07,worker"
[DATA] Local: Step 8 - Create cron scheduler,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-08

**Objective**:
Create cron scheduler using node-cron to trigger enqueue function hourly.

**Tasks**:
- Create `scripts/cron/scheduler.ts`
- Configure node-cron for hourly schedule (every hour at :00)
- Call `enqueueHourlyAggregation()` function
- Add error handling and logging
- Support graceful shutdown

**Acceptance Criteria**:
- Scheduler runs every hour
- Successfully calls enqueue function
- Logs execution times
- Handles errors without crashing","data,aggregation,local,p1,seq-agg-local-08,scheduler"
[DATA] Local: Step 9 - Add npm scripts for worker and cron,"**Environment**: Local Development
**Priority**: P1
**Sequence**: AGG-LOCAL-09

**Objective**:
Add npm scripts to package.json for easy execution of worker and cron.

**Tasks**:
- Add `worker:aggregation` script
- Add `cron:scheduler` script
- Add `worker:dev` script (with watch mode if needed)
- Update package.json documentation

**Acceptance Criteria**:
- Scripts run successfully with `pnpm worker:aggregation` and `pnpm cron:scheduler`
- Scripts use tsx for TypeScript execution
- Documentation updated","data,aggregation,local,p1,seq-agg-local-09,scripts"
[DATA] Local: Step 10 - Create test scripts (enqueue + queue status),"**Environment**: Local Development
**Priority**: P2
**Sequence**: AGG-LOCAL-10

**Objective**:
Create test scripts for manual testing of enqueue and queue status checking.

**Tasks**:
- Create `scripts/test-enqueue.ts` - manually trigger enqueue
- Create `scripts/check-queue.ts` - check queue status (waiting/active/completed/failed)
- Add helpful output formatting

**Acceptance Criteria**:
- Test scripts run successfully
- Enqueue test creates jobs in queue
- Queue status shows accurate counts","data,aggregation,local,p2,seq-agg-local-10,testing"
